names,visualisingdata.com,graphicsociology,blog.oecdfactblog.org,datablog,datavisualization.ch,dataspora.com/blog,flowingdata.com,infosthetics.com,visualcomplexity.com/vc,visualjournalism.com,chartporn.org,visualizing.org,createdigitalmotion.com,news.designlanguage.com,xkcd.com,blog.wolframalpha.com,brainpickings.org,bang.clearscience.info,radar.oreilly.com,creativeapplications.net,informationisbeautiful.net,fellinlovewithdata.com,blogs.wsj.com/numbersguy,getprismatic.com,petewarden.typepad.com,indiemaps.com/blog,benfry.com/writing,serialconsign.com,perceptualedge,excelcharts.com/blog/posts,datajournalismblog.com,eagereyes.org,thefunctionalart.com,good.is/infographics,ilovecharts.tumblr.com,dailyinfographic.com,infographicsarchive.com,visualoop.tumblr.com,visualizingeconomics.com,spatialanalysis.co.uk,storiesthroughdata,sethssources.wordpress.com,datawrangling.com,infoisbeautifulawards,xblog,interactive-infographics.com,thewhyaxis.info,ideasillustrated.com/blog,Ben Fry,Daniel A.,David McCandless,Jer Thorp,Lisa Strausfeld,Manuel Lima,Marcos Weskamp,Moritz Stefaner,Stefanie Posavec,Santiago Ortiz,Jen Lowe,Jason Davies,Mike Bostock,Willem Tulp,Martin Wattenberg,Edward Tufte,Jonathan Harris,Eric Fischer,Fernanda Viegas,Jerome Cukier,Jeff Clark,Nicolas Garcia,Gregor Aisch,Ben Shneiderman,Francesco Franchi,Christopher Warnow,Irene Ros,Lev Manovich,Nicholas Felton,Szucs Krisztina,Stephen Wolfram,Scott Murray,Matthew Ericson,Mahir M.,Jim Vallandingham,Martin Oberhaeuser,Benedikt Groß,Katy Börner,Rachel Binx,Aaron Koblin,Golan Levin,Applied Works,BERG,Bestiario,Catalogtree,Bloom,Density Design,Envis Precisely,Field,Flink Labs,InfoMotor,Interactive Things,Ito World,JESS3,Juice Analytics,Oblong Industries,Periscopic,Pitch Interactive,Potion Design,Rhiza Labs,Seed Media,Taco Labs,Vizzuality,OOM,FFunction,Plaid,Visup,Data Republic,Data Market,NYT labs,tracemedia,stamen,R,Gephi,Quadrigram,Many Eyes,Tableau Software,Plot.io,infogr.am,Google chart,Gapminder,d3,Infovis,wordle,wolfram|alpha,create.visual.ly,Polychart,Miso,envision,geocommons,timeline.verite,DataKind,Visual Complexity,Visualize this,visual display,Visualizing Data,The visual
url,http://www.visualisingdata.com/,http://thesocietypages.org/graphicsociology/,http://blog.oecdfactblog.org/,http://www.guardian.co.uk/news/datablog,http://datavisualization.ch/,http://www.dataspora.com/blog/,http://flowingdata.com/,http://www.infosthetics.com/,http://www.visualcomplexity.com/vc/,http://visualjournalism.com/,http://chartporn.org/,http://www.visualizing.org/,http://createdigitalmotion.com/,http://news.designlanguage.com/,http://xkcd.com/,http://blog.wolframalpha.com/,http://www.brainpickings.org/,http://bang.clearscience.info/,http://radar.oreilly.com/,http://www.creativeapplications.net/,http://www.informationisbeautiful.net/,http://fellinlovewithdata.com/,http://blogs.wsj.com/numbersguy/,http://getprismatic.com/,http://petewarden.typepad.com/,http://indiemaps.com/blog/,http://benfry.com/writing/,http://serialconsign.com/,http://www.perceptualedge.com/,http://www.excelcharts.com/blog/posts/,http://www.datajournalismblog.com/,http://eagereyes.org/,http://www.thefunctionalart.com/,http://www.good.is/infographics,http://ilovecharts.tumblr.com/,http://dailyinfographic.com/,http://www.infographicsarchive.com/,http://visualoop.tumblr.com/,http://visualizingeconomics.com/,http://spatialanalysis.co.uk/,http://storiesthroughdata.blogs.lincoln.ac.uk/,http://sethssources.wordpress.com/,http://datawrangling.com/,http://www.informationisbeautifulawards.com/,http://www.xplane.com/xblog/data-visualization/,http://www.interactive-infographics.com/,http://thewhyaxis.info/,http://ideasillustrated.com/blog/,http://fathom.info,http://www.daniel-a-becker.de,http://www.davidmccandless.com,http://blprnt.com,http://www.pentagram.com/,http://www.mslima.com/,http://marumushi.com,http://moritz.stefaner.eu,http://itsbeenreal.co.uk,http://moebio.com,http://www.datatelling.com/,http://www.jasondavies.com/,http://bost.ocks.org/mike/,http://tulpinteractive.com/,http://www.bewitched.com/,http://www.edwardtufte.com/tufte/,http://number27.org/,http://www.flickr.com/photos/walkingsf,http://fernandaviegas.com/,http://www.jeromecukier.net/,http://neoformix.com/,http://philogb.github.com/,http://vis4.net/blog/,http://www.cs.umd.edu/~ben/,http://www.francescofranchi.com/,http://christopherwarnow.com/portfolio/,http://ireneros.com/,http://lab.softwarestudies.com/,http://feltron.com/,http://webecset.hu/,http://blog.stephenwolfram.com/,http://alignedleft.com/,http://www.ericson.net/content/,http://casualdata.com/,http://vallandingham.me/,http://www.behance.net/Oberhaeuser,http://www.looksgood.de/log/,http://ella.slis.indiana.edu/~katy/,http://rachelbinx.com/,http://www.aaronkoblin.com/,http://www.flong.com/,http://www.appliedworks.co.uk,http://berglondon.com,http://www.bestiario.org,http://catalogtree.net,http://bloom.io,http://www.densitydesign.org,http://envis-precisely.com,http://www.field.io,http://www.flinklabs.com,http://www.infomotor.com,http://interactivethings.com,http://itoworld.com,http://jess3.com,http://www.juiceanalytics.com,http://oblong.com/,http://periscopic.com,http://www.pitchinteractive.com/,http://potiondesign.com/,http://www.rhizalabs.com,http://seedmediagroup.com,http://blog.tacolab.com,http://www.vizzuality.com,http://www.oomcreative.com/,http://ffctn.com/,http://www.plaid-creative.com/,http://www.visup.it/,http://www.thedatarepublic.com/,http://datamarket.com/,http://nytlabs.com/,http://tracemedia.co.uk/,http://stamen.com/,http://www.r-project.org/,http://gephi.org/,http://quadrigram.com/,http://www-958.ibm.com/software/data/cognos/manyeyes/,http://www.tableausoftware.com/,http://www.plot.io/,http://www.infogr.am/,http://code.google.com/apis/chart/,http://www.gapminder.org/,http://mbostock.github.com/d3/,http://thejit.org/,http://www.wordle.net/,http://www.wolframalpha.com/,http://create.visual.ly/,http://polychart.com/,http://misoproject.com/,http://www.humblesoftware.com/envision,http://geocommons.com/,http://timeline.verite.co/,http://datakind.org/,http://www.visualcomplexity.com/vc/book/,http://book.flowingdata.com/,http://www.edwardtufte.com/tufte/books_vdqi,http://www.amazon.com/gp/product/0596514557?ie=UTF8&tag=informationae-20&linkCode=xm2&camp=1789&creativeASIN=0596514557,http://www.informationisbeautiful.net/2009/the-visual-miscellaneum/
categories,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,books,books,books,books,books
design,23,1,0,3,28,0,23,38,27,28,26,31,31,55,0,0,22,5,2,29,28,15,0,0,1,14,38,58,29,0,0,26,0,11,10,16,28,34,11,14,0,0,0,18,47,3,0,0,36,20,35,19,48,7,50,37,20,1,2,0,2,3,33,19,40,13,28,1,28,0,10,24,35,6,0,25,45,2,0,7,17,7,0,31,40,0,2,35,37,48,53,25,51,44,49,0,52,6,0,42,10,38,19,36,36,8,18,13,25,19,26,5,39,39,1,0,0,18,0,38,0,0,0,11,1,0,6,1,0,0,7,17,0,5,1,3,0,0,8,0,1,22,28,0,6
data,30,3,3,50,31,7,40,23,13,8,23,32,0,19,0,2,0,1,0,1,14,37,20,0,21,1,28,2,20,4,15,31,1,6,4,11,13,14,25,8,0,0,6,12,0,4,14,2,23,2,27,2,0,0,3,28,5,1,6,1,4,4,39,11,1,8,19,10,35,1,17,13,0,2,0,3,7,0,0,1,16,3,0,1,1,0,2,5,0,0,0,13,9,19,7,0,1,13,1,18,32,9,36,1,34,3,1,21,2,0,4,1,20,0,6,6,58,12,2,22,2,21,12,32,21,12,16,3,23,32,18,1,0,11,11,46,0,33,1,10,11,16,16,12,0
infographics,29,9,2,29,33,1,32,22,6,47,49,37,0,42,0,0,0,0,0,0,42,25,0,0,0,12,23,6,3,1,5,17,1,20,19,40,55,46,13,3,1,3,0,21,11,21,19,0,36,2,35,0,0,0,2,31,11,1,2,1,0,5,16,6,1,4,15,0,11,0,14,1,45,8,0,1,46,0,0,0,30,3,2,31,1,0,0,5,0,6,0,5,34,18,36,0,0,10,4,3,1,13,5,0,25,7,1,0,2,0,9,2,37,3,5,0,3,0,2,6,0,1,1,34,3,6,49,2,4,20,3,0,0,51,1,2,0,5,1,0,2,22,11,0,10
blog,23,6,3,21,11,10,17,18,1,31,12,0,33,36,3,37,18,0,40,24,12,40,36,0,27,45,49,53,6,4,10,38,0,0,15,10,3,20,14,26,1,1,5,1,45,5,18,5,0,2,21,9,1,0,4,3,0,1,0,8,10,0,1,0,20,0,0,8,28,0,25,1,0,0,1,14,0,0,14,1,22,0,0,0,15,0,0,0,3,1,0,3,1,2,14,0,0,0,0,7,0,0,2,0,0,0,0,0,7,22,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inspiration,12,0,0,0,16,0,0,11,12,1,0,3,7,14,0,4,31,0,3,29,16,0,0,0,0,0,0,4,0,0,0,2,0,7,5,11,10,21,0,1,1,0,0,6,7,0,4,0,14,0,6,7,18,4,29,17,3,2,0,0,2,3,6,1,32,4,10,0,2,0,0,0,21,0,0,0,21,0,1,1,1,0,0,33,15,0,0,20,21,12,22,16,24,30,24,0,27,0,1,4,0,34,1,1,14,3,2,0,9,1,22,0,14,7,0,0,4,10,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
information,11,5,0,2,17,0,1,21,17,13,1,0,0,20,0,4,0,5,0,0,22,2,0,0,0,0,21,14,17,0,0,20,0,0,4,0,9,4,4,1,0,0,0,2,3,0,2,1,5,2,20,0,0,4,3,14,3,0,0,0,0,1,21,10,9,3,10,1,20,0,8,9,2,2,0,3,1,0,0,0,12,3,0,2,0,2,0,3,0,0,0,10,12,0,14,0,0,1,0,1,5,2,1,1,2,1,1,16,1,0,0,2,1,0,0,0,15,5,0,0,0,1,0,1,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,8,0,15,2,0
art,0,0,0,0,0,0,0,13,10,1,0,2,28,0,1,0,14,0,0,16,0,0,0,0,0,0,7,41,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,8,3,13,3,1,25,1,11,7,0,0,0,0,28,5,38,15,21,0,4,0,0,0,3,0,2,29,0,0,0,1,0,4,0,0,17,0,0,27,48,0,1,3,5,1,6,0,31,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,2,0
